pack_id,pack_seed,template_ids,context_tokens,prompt_tokens,output_tokens
631,1632,nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c,11777;6475;12798;20030;14960;20310;24425;14346,5868;76;195;485;419;86;361;560,13;1;1;9;119;7;12;1
632,1633,nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f,18015;30976;24745;20515;2989;20702;25775;2907,75;62;60;828;447;220;263;65,17;3;1;8;1;1;37;218
633,1634,nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80,25183;23603;20473;10737;16668;22132;7191;13753,523;56;150;1728;81;967;965;119,7;1;1;15;1;91;20;27
634,1635,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1,26294;9908;6775;24448;30064;30944;20534;21700,128;88;384;384;260;208;383;90,14;24;1;1;1;11;11;1
635,1636,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e,24832;12129;17884;29980;26138;11739;14059;6959,500;78;326;136;156;190;619;357,15;24;198;20;17;14;22;1
636,1637,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e,26492;12207;19615;18115;27552;18499;18261;6603,54;176;289;759;52;84;367;88,1;21;6;14;1;1;61;19
637,1638,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a,10364;25533;18717;20877;18975;8315;12785;2978,312;44;227;62;263;79;223;376,43;13;85;1;75;1;11;1
638,1639,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e,19606;8003;21513;25034;13541;11490;18438;6174,343;1536;123;261;46;149;356;421,17;33;1;22;1;59;39;12
639,1640,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b,4755;17763;26546;6352;24980;18874;14625;7981,76;81;112;81;65;347;79;490,15;1;57;8;1;40;15;34
640,1641,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e,14259;23099;13428;4862;7612;10266;26199;9880,172;199;438;76;181;471;881;834,1;1;97;1;1;15;18;42
641,1642,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1,29611;26177;16467;10740;13615;18544;14261;30487,329;105;50;53;242;1062;551;614,87;29;1;10;75;42;65;82
642,1643,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c,20864;8636;25668;13707;14906;12600;13473;4368,44;159;47;854;132;54;68;42,1;52;1;55;180;1;15;1
643,1644,nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3,12465;12539;10782;18874;19014;16257;5383;10140,2875;367;401;1871;724;1283;50;483,17;18;149;12;12;15;1;23
644,1645,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228,25957;14344;18001;17367;17213;20702;17844;16137,205;281;281;96;399;220;604;54,24;18;34;1;22;1;17;1
645,1646,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614,13915;12262;19901;23425;13721;15379;25332;14386,33;214;378;151;211;356;162;1446,1;28;235;21;110;12;8;227
646,1647,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b,11358;20908;6369;13517;28255;13541;19058;18227,686;166;445;283;297;46;270;211,15;17;73;12;23;1;53;11
647,1648,nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-af498fe8f107a98f75a3514b7d65c893ff670b1e;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614,12526;12446;27610;26594;6620;6775;30064;21179,259;458;53;309;69;384;260;464,1;74;1;15;1;1;1;18
648,1649,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-33b11b9adc557d5d083f073dac3bdeacffea154f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-55002a5204240bfaabdc19bd670c50e47881247c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64,2960;16546;12539;18935;15861;24448;7942;18827,554;80;367;52;163;384;227;421,1;1;18;16;1;1;73;114
649,1650,nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614,8326;11891;19949;17253;28109;20045;26495;16090,481;227;173;229;420;132;65;714,12;9;17;55;1;26;16;122
650,1651,nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-2f6a0c94e91a85c530e60bbfd846c8522804b228;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-e5a0ca90d16ce78e05db71253720fa3082d8da2d,11490;13994;6258;18433;6527;8855;4644;21008,149;292;94;341;76;74;99;45,59;40;13;57;11;1;12;1
651,1652,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1,4744;12465;5245;21783;3551;15053;4743;20071,86;2875;93;185;594;99;83;659,1;17;21;1;12;1;12;17
652,1653,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3,20865;17054;30377;5603;12129;5245;18935;26776,835;158;218;50;78;93;52;67,18;28;1;1;24;21;16;15
653,1654,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f792d8c50ee456aa8aa2ae406d8e6b8843f45614;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-88fcdc4e6a48f2646488565fbafd050f8e298ffa;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-4e68aba658a6e54d09150f093cdb6f9d4883b081;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:aio-libs__aiohttp-b15c89558f1a52eb22ca400ff8624def096123d0;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-9db7f3eff3ec01f32806967fe372d60cfe75184b,5366;20745;27053;18628;2962;12843;11490;8636,1105;73;554;89;67;609;149;159,7;13;205;1;27;57;59;52
654,1655,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3e3ffef5a091eef79722f4b590360616a312ac80;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-f9eae2d5ae1586d813d3bdbdcb115235cc2e853c;nvidia/SWE-Hero-openhands-trajectories:Pylons__pyramid-804c27a1c7fe4fb50224e5d5be163c6f894b990a;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-60a2d56acde52c3c03ad3146d56f59ac924f508e;nvidia/SWE-Hero-openhands-trajectories:datalad__datalad-0498f372313e3a25c0b1cd2b3ffdac4c0ce351ae;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-0ec42bb8c6dbdd269884ecce21a0610211c6bfa3,16637;30514;20372;21016;12807;13630;25461;8955,507;218;52;262;719;77;680;1132,77;23;1;35;88;1;12;29
655,1656,nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-4ca4dd313f1995c09fc315865d06a406718a4a64;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-d7e96d830c3f765565d2fd9d3f80f888fa261f02;nvidia/SWE-Hero-openhands-trajectories:numpy__numpy-2be00c3fe6f6d84d4449b1cb26452642b48c0661;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-11b8d1afa734a79a1ccb9a567b6cc68516be8bd1;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-67ce770ae4f7248df7384965e5b2cfdc350e3e5f;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-c80b14511cc24ec6c4d4922bfe4fe7214713484e;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-62c238eff91933ca7d6a3310f210bb151ccca8a3;nvidia/SWE-Hero-openhands-trajectories:pandas-dev__pandas-3b4b193d57841b74853f8b16d2a9ac2e353fcff7,18210;25900;20908;20865;6945;12248;24234;13282,617;723;166;835;76;218;191;140,200;18;17;18;18;9;19;1
